area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2.0,2.0,36.0,2,1025.0,3512.1951219512193
Super built-up  Area,17-Jun,Electronic City,2 BHK,2.0,1.0,63.0,2,1108.0,5685.9205776173285
Plot  Area,Ready To Move,Other,5 Bedroom,5.0,2.0,170.0,5,1200.0,14166.666666666666
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,170.0,3,3045.0,5582.922824302134
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,3.0,2.0,300.0,4,2900.0,10344.827586206897
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,3.0,2.0,75.5,3,1500.0,5033.333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,2.0,43.9,2,1295.0,3389.96138996139
Super built-up  Area,Ready To Move,Budigere,2 BHK,2.0,1.0,59.9,2,1162.0,5154.9053356282275
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2.0,2.0,49.2,2,1035.0,4753.623188405797
Built-up  Area,Ready To Move,Attibele,4 Bedroom,4.0,0.0,52.8,4,1600.0,3300.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,46.0,3,1464.0,3142.0765027322404
Super built-up  Area,18-Oct,Hennur Road,3 BHK,2.0,2.0,61.58,3,1866.0,3300.10718113612
Super built-up  Area,Ready To Move,Other,2 BHK,1.0,1.0,26.0,2,700.0,3714.285714285714
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3.0,2.0,120.0,3,1804.0,6651.884700665189
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2.0,1.0,32.0,2,913.0,3504.9288061336256
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,3.0,2.0,131.0,3,1868.0,7012.847965738758
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2.0,1.0,45.0,2,883.0,5096.262740656852
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,110.0,2,900.0,12222.222222222223
Super built-up  Area,Ready To Move,Kogilu,3 BHK,2.0,3.0,73.95,3,1664.0,4444.110576923077
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3.0,2.0,132.0,3,2026.0,6515.301085883514
Super built-up  Area,Ready To Move,Balagere,2 BHK,2.0,1.0,80.9,2,1210.0,6685.950413223141
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,250.0,4,4111.0,6081.24543906592
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,3.0,3.0,91.45,3,1762.0,5190.124858115778
Super built-up  Area,Ready To Move,Jigani,3 BHK,3.0,3.0,55.0,3,1252.0,4392.97124600639
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,2.0,1.0,34.5,2,861.0,4006.968641114983
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,1.0,100.0,3,1420.0,7042.2535211267605
Plot  Area,Ready To Move,Other,6 Bedroom,6.0,0.0,250.0,6,1450.0,17241.379310344826
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3.0,1.0,78.8,3,1490.0,5288.5906040268455
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2.0,1.0,46.0,3,1075.0,4279.069767441861
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,2.0,2.0,94.0,3,1425.0,6596.491228070176
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2.0,1.0,40.0,2,1200.0,3333.3333333333335
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,2.0,2.0,56.0,3,1280.0,4375.0
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,50.0,2,1084.0,4612.546125461255
Super built-up  Area,18-Jul,Chandapura,2 BHK,2.0,2.0,25.88,2,1015.0,2549.753694581281
Super built-up  Area,21-May,Kanakpura Road,2 BHK,2.0,1.0,51.25,2,1017.0,5039.331366764995
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2.0,2.0,44.0,2,1027.0,4284.323271665044
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2.0,2.0,45.0,2,1069.0,4209.541627689429
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2.0,1.0,98.2,2,1349.0,7279.466271312083
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2.0,1.0,50.0,2,1005.0,4975.124378109453
Super built-up  Area,Ready To Move,Jakkur,2 BHK,2.0,3.0,75.0,2,1417.0,5292.87226534933
Plot  Area,18-Jan,TC Palaya,3 Bedroom,3.0,1.0,98.0,3,1475.0,6644.067796610169
Carpet  Area,Ready To Move,Other,2 BHK,2.0,2.0,47.0,2,950.0,4947.368421052632
Super built-up  Area,Ready To Move,Other,4 BHK,4.0,0.0,120.0,4,2000.0,6000.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3.0,1.0,140.0,3,880.0,15909.09090909091
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3.0,2.0,104.0,4,1863.0,5582.393988191089
Super built-up  Area,Ready To Move,Singasandra,2 BHK,2.0,1.0,29.5,2,1010.0,2920.792079207921
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,2.0,1.0,70.0,3,1425.0,4912.2807017543855
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,3.0,0.0,100.0,3,1450.0,6896.551724137931
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3.0,2.0,105.0,3,1847.0,5684.89442338928
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2.0,3.0,45.0,2,1100.0,4090.909090909091
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,1.0,1.0,26.0,1,525.0,4952.380952380952
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,3.0,2.0,95.0,3,1665.0,5705.705705705705
Super built-up  Area,Ready To Move,Begur,4 BHK,4.0,3.0,65.0,4,1664.0,3906.25
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,3.0,3.0,150.0,3,1850.0,8108.108108108108
Super built-up  Area,Ready To Move,Panathur,2 BHK,2.0,3.0,100.0,2,1438.0,6954.102920723227
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,115.0,3,1560.0,7371.794871794872
Super built-up  Area,18-Apr,Yelahanka,2 BHK,2.0,1.0,55.55,2,1350.0,4114.814814814815
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3.0,3.0,67.0,3,1550.0,4322.580645161291
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,2.0,2.0,46.5,2,1140.0,4078.9473684210525
Plot  Area,Ready To Move,Other,5 Bedroom,5.0,2.0,180.0,5,1200.0,15000.0
Super built-up  Area,18-Dec,Other,2 BHK,2.0,2.0,27.0,2,850.0,3176.470588235294
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,2.0,75.0,2,1280.0,5859.375
Built-up  Area,Ready To Move,Munnekollal,2 BHK,2.0,2.0,52.0,2,1170.0,4444.444444444444
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,51.0,2,1113.0,4582.210242587601
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2.0,1.0,83.09,2,1385.0,5999.27797833935
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,1.0,65.0,2,1128.0,5762.41134751773
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,2.0,2.0,128.0,2,1200.0,10666.666666666666
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,3.0,165.0,4,1200.0,13750.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,2.0,415.0,3,2390.0,17364.016736401674
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,4.0,1.0,400.0,4,2400.0,16666.666666666668
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3.0,2.0,56.0,3,1464.0,3825.136612021858
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.0,2,1200.0,4583.333333333333
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,2.0,2.0,52.0,2,1200.0,4333.333333333333
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,2.0,1.0,55.0,3,1150.0,4782.608695652174
Built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,95.0,3,1645.0,5775.075987841945
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,2.0,1.0,67.0,2,1000.0,6700.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,4.0,2.0,198.0,4,2650.0,7471.698113207547
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,2.0,2.0,74.0,2,1192.0,6208.053691275168
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,3.0,2.0,215.0,3,2135.0,10070.257611241217
Super built-up  Area,19-Dec,Whitefield,2 BHK,2.0,1.0,58.0,2,1173.0,4944.58653026428
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,2.0,45.0,2,1020.0,4411.764705882353
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,6.0,2.0,230.0,4,3122.0,7367.072389493914
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,3.0,3.0,64.0,3,1600.0,4000.0
Plot  Area,18-Mar,Other,2 Bedroom,2.0,0.0,79.0,2,1200.0,6583.333333333333
Carpet  Area,Ready To Move,Other,2 BHK,2.0,3.0,48.0,2,1230.0,3902.439024390244
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,2.0,2.0,40.0,2,1250.0,3200.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2.0,2.0,76.0,2,1325.0,5735.8490566037735
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3.0,1.0,150.0,3,1850.0,8108.108108108108
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,2.0,2.0,65.0,2,1200.0,5416.666666666667
Plot  Area,Ready To Move,Other,3 Bedroom,2.0,0.0,140.0,3,1350.0,10370.37037037037
Super built-up  Area,18-Jun,Bommasandra,3 BHK,3.0,1.0,49.36,3,1260.0,3917.4603174603176
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,0.0,150.0,3,1800.0,8333.333333333334
Plot  Area,18-Dec,Other,3 Bedroom,3.0,2.0,74.0,3,11.0,672727.2727272727
Built-up  Area,Ready To Move,Ardendale,2 BHK,2.0,1.0,43.25,2,1100.0,3931.818181818182
Super built-up  Area,Ready To Move,Harlur,2 BHK,2.0,1.0,77.0,2,1508.0,5106.100795755968
Carpet  Area,Ready To Move,Other,3 BHK,3.0,2.0,75.0,3,1592.0,4711.05527638191
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2.0,3.0,57.0,2,1388.0,4106.628242074928
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,1.0,1.0,28.35,1,630.0,4500.0
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,2.0,365.0,3,2000.0,18250.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,125.0,3,1762.0,7094.211123723042
Super built-up  Area,21-Dec,Other,2 BHK,2.0,2.0,50.0,2,950.0,5263.1578947368425
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,5.0,3.0,335.0,4,3252.0,10301.353013530135
Super built-up  Area,18-Aug,Magadi Road,2 BHK,2.0,1.0,50.0,2,1116.0,4480.286738351255
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,2.0,2.0,89.04,2,1308.0,6807.339449541284
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,0.0,90.0,3,1200.0,7500.0
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,230.0,4,1500.0,15333.333333333334
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,1.0,1.0,18.5,1,500.0,3700.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,2.0,1.0,52.0,2,1075.0,4837.209302325581
Super built-up  Area,18-Mar,Chandapura,1 BHK,1.0,0.0,11.66,1,530.0,2200.0
Built-up  Area,Ready To Move,Bellandur,2 BHK,2.0,3.0,66.0,2,1205.0,5477.178423236514
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2.0,2.0,60.0,2,1075.0,5581.395348837209
Built-up  Area,Ready To Move,KR Puram,2 BHK,2.0,2.0,39.0,2,930.0,4193.548387096775
Super built-up  Area,Ready To Move,Balagere,2 BHK,2.0,1.0,60.0,2,1380.0,4347.826086956522
Super built-up  Area,Ready To Move,Hebbal,4 BHK,5.0,2.0,212.0,4,2483.0,8538.058799838904
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,2.0,2.0,55.0,2,1166.0,4716.981132075472
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2.0,1.0,65.0,2,1050.0,6190.476190476191
Super built-up  Area,19-Mar,Other,3 BHK,3.0,2.0,275.0,3,2023.71,13588.903548433324
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,46.8,2,1200.0,3900.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,2.0,1.0,108.0,3,1600.0,6750.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,3.0,2.0,110.0,3,1935.0,5684.754521963824
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,1.0,0.0,29.9,1,451.0,6629.711751662971
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3.0,2.0,95.0,3,1800.0,5277.777777777777
Super built-up  Area,18-May,Jalahalli,3 BHK,3.0,0.0,77.0,3,1400.0,5500.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3.0,2.0,115.0,3,1801.0,6385.341476957246
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,2.0,2.0,90.0,2,1451.0,6202.618883528601
Plot  Area,19-Jan,Anekal,2 Bedroom,1.0,1.0,36.0,2,1200.0,3000.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,44.0,2,1160.0,3793.103448275862
Built-up  Area,Ready To Move,Kengeri,2 BHK,2.0,1.0,25.0,2,1000.0,2500.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2.0,1.0,40.0,2,950.0,4210.526315789473
Built-up  Area,20-Dec,Other,3 BHK,3.0,2.0,79.0,3,1629.0,4849.600982197668
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,2.0,0.0,134.0,3,1580.0,8481.012658227848
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3.0,2.0,121.0,3,1826.0,6626.506024096386
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,1.0,94.0,2,1245.0,7550.2008032128515
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,2.0,45.79,2,1145.0,3999.126637554585
Super built-up  Area,Ready To Move,Sompura,2 BHK,2.0,1.0,33.0,2,825.0,4000.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,3.0,3.0,108.0,3,1693.0,6379.208505611341
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2.0,2.0,53.0,2,1113.27,4760.74986301616
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,58.0,2,1460.0,3972.6027397260273
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,2.0,1.0,32.0,2,1050.0,3047.6190476190477
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,2.0,2.0,55.0,2,1260.0,4365.079365079365
Super built-up  Area,Ready To Move,Other,6 BHK,3.0,2.0,120.0,6,700.0,17142.85714285714
Built-up  Area,Ready To Move,Hosur Road,2 BHK,2.0,1.0,120.0,2,1656.0,7246.376811594203
Super built-up  Area,Ready To Move,Chandapura,3 BHK,3.0,1.0,45.0,3,1208.0,3725.1655629139073
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3.0,2.0,161.0,3,1910.0,8429.319371727748
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4.0,1.0,230.0,4,3252.0,7072.570725707257
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,2.0,1.0,65.0,2,1200.0,5416.666666666667
Super built-up  Area,Ready To Move,Other,4 BHK,4.0,1.0,175.0,4,1200.0,14583.333333333334
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,1.0,82.0,2,1175.0,6978.723404255319
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,0.0,165.0,2,1000.0,16500.0
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,2.0,0.0,125.0,4,1200.0,10416.666666666666
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,2.0,410.0,3,2390.0,17154.81171548117
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,6.0,3.0,2200.0,7,12000.0,18333.333333333332
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,1.0,1.0,62.0,2,550.0,11272.727272727272
Super built-up  Area,Ready To Move,Kengeri,1 BHK,1.0,0.0,18.5,1,370.923994,4987.544698982186
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,38.0,2,1185.0,3206.7510548523205
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2.0,1.0,38.0,2,750.0,5066.666666666667
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,7.0,3.0,250.0,6,1200.0,20833.333333333332
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3.0,3.0,64.5,3,1550.0,4161.290322580645
Built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,88.0,3,1760.0,5000.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2.0,2.0,62.0,2,1125.0,5511.111111111111
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,3.0,2.0,150.0,3,1350.0,11111.111111111111
Plot  Area,17-Dec,Anandapura,2 Bedroom,2.0,1.0,55.0,2,1000.0,5500.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,2.0,2.0,31.48,2,1090.0,2888.0733944954127
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2.0,0.0,60.0,2,1200.0,5000.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,4.0,2.0,103.0,3,1991.0,5173.279758915118
Super built-up  Area,18-Oct,Bommasandra,2 BHK,2.0,1.0,26.5,2,1060.0,2500.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,2.0,1.0,75.0,2,1105.0,6787.330316742082
Built-up  Area,Ready To Move,Hoodi,2 BHK,2.0,2.0,67.0,2,985.0,6802.030456852792
Plot  Area,Ready To Move,Chandapura,6 Bedroom,5.0,3.0,85.0,6,1533.0,5544.683626875408
Super built-up  Area,17-Jul,Balagere,3 BHK,3.0,2.0,79.0,3,1590.0,4968.553459119496
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2.0,2.0,55.0,2,1120.0,4910.714285714285
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,55.0,2,1069.0,5144.9953227315245
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,2.0,140.0,3,1933.0,7242.628039317124
Built-up  Area,16-Mar,Hosur Road,2 BHK,2.0,0.0,69.0,2,1194.0,5778.894472361809
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2.0,3.0,69.0,2,1150.0,6000.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,2.0,2.0,47.12,2,1240.0,3800.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,2.0,48.1,2,1419.0,3389.7110641296686
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,8.0,2.0,250.0,8,1200.0,20833.333333333332
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,2.0,240.0,3,2150.0,11162.790697674418
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,55.0,3,1450.0,3793.103448275862
Super built-up  Area,18-Jul,Other,3 BHK,3.0,2.0,68.29,3,1630.0,4189.57055214724
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,1.0,1.0,40.0,2,708.0,5649.717514124294
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,4.0,3.0,110.0,3,1000.0,11000.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4.0,3.0,700.0,4,11890.0,5887.300252312868
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2.0,1.0,76.0,2,1250.0,6080.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,1.0,95.0,3,1400.0,6785.714285714285
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2.0,3.0,57.0,3,1670.0,3413.1736526946106
Super built-up  Area,Ready To Move,Ardendale,3 BHK,3.0,2.0,100.0,3,1750.0,5714.285714285715
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2.0,1.0,71.0,2,1404.0,5056.980056980057
Super built-up  Area,Ready To Move,Hoodi,3 BHK,2.0,2.0,95.0,3,1715.0,5539.35860058309
Built-up  Area,18-Apr,Electronic City,1 BHK,1.0,1.0,34.65,1,630.0,5500.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,3.0,2.0,135.0,3,1752.12,7704.951715635916
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,3.0,2.0,78.0,3,1650.0,4727.272727272727
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,1.0,55.47,2,1295.0,4283.397683397683
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3.0,2.0,252.0,3,1800.0,14000.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,2.0,1.0,74.03,2,1346.0,5500.0
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,200.0,4,1200.0,16666.666666666668
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2.0,2.0,55.0,2,1150.0,4782.608695652174
Built-up  Area,Ready To Move,Other,4 Bedroom,4.0,3.0,325.0,4,3309.0,9821.698398307646
Super built-up  Area,18-May,Chandapura,3 BHK,2.0,2.0,30.35,3,1190.0,2550.4201680672268
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,3.0,2.0,98.0,3,1620.0,6049.382716049383
Super built-up  Area,18-Apr,Marathahalli,2 BHK,2.0,1.0,46.96,2,950.0,4943.1578947368425
Super built-up  Area,Ready To Move,Other,11 BHK,9.0,3.0,360.0,11,5000.0,7200.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,3.0,0.0,120.0,3,2450.0,4897.959183673469
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,2.0,1.0,35.23,3,1220.0,2887.7049180327863
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,30.0,2,850.0,3529.4117647058824
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2.0,2.0,63.0,2,1020.0,6176.470588235294
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2.0,2.0,50.0,2,1100.0,4545.454545454545
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,126.0,2,1150.0,10956.521739130434
Super built-up  Area,18-Dec,Hebbal,3 BHK,2.0,2.0,130.0,3,1760.0,7386.363636363636
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,3.0,3.0,110.0,3,1800.0,6111.111111111111
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2.0,1.0,54.0,2,1070.0,5046.728971962617
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4.0,2.0,220.0,4,1500.0,14666.666666666666
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,2.0,0.0,95.0,2,1440.0,6597.222222222223
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,2.0,1.0,40.0,2,900.0,4444.444444444444
Built-up  Area,Ready To Move,Other,4 BHK,4.0,1.0,230.0,4,1200.0,19166.666666666668
Super built-up  Area,18-May,Whitefield,2 BHK,2.0,1.0,42.16,2,1130.0,3730.973451327434
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2.0,1.0,165.0,2,1320.0,12500.0
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,2.0,1.0,98.0,2,1270.0,7716.535433070866
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,62.0,2,1200.0,5166.666666666667
Super built-up  Area,Ready To Move,Other,4 BHK,4.0,2.0,235.0,4,4800.0,4895.833333333333
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,74.0,2,1200.0,6166.666666666667
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2.0,0.0,50.17,2,929.0,5400.4305705059205
Built-up  Area,Ready To Move,Other,4 BHK,4.0,2.0,260.0,4,1150.0,22608.695652173912
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,4.0,3.0,180.0,4,1125.0,16000.0
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,3.0,2.0,65.0,5,500.0,13000.0
Plot  Area,Ready To Move,Other,5 Bedroom,5.0,2.0,190.0,5,1200.0,15833.333333333334
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,56.0,3,1464.0,3825.136612021858
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,4.0,3.0,400.0,4,3600.0,11111.111111111111
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,99.0,4,2000.0,4950.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2.0,1.0,49.0,2,1208.0,4056.291390728477
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,2.0,2.0,60.0,2,1130.0,5309.734513274337
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,120.0,3,1753.0,6845.407872219053
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,7.0,3.0,337.0,5,4500.0,7488.888888888889
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,3.0,2.0,58.0,3,600.0,9666.666666666666
Super built-up  Area,22-Jun,Hoodi,2 BHK,2.0,2.0,94.42,2,1196.0,7894.648829431439
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,3.0,3.0,52.5,2,1150.0,4565.217391304348
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,1.0,63.0,2,1128.0,5585.106382978724
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,53.0,2,1000.0,5300.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2.0,1.0,45.0,2,1035.0,4347.826086956522
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,2.0,1.0,32.0,2,950.0,3368.4210526315787
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2.0,1.0,36.0,3,1075.0,3348.8372093023254
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,1.0,48.5,2,1040.0,4663.461538461538
Plot  Area,17-Oct,Other,2 Bedroom,2.0,1.0,45.0,2,720.0,6250.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3.0,1.0,95.0,3,1511.0,6287.22700198544
Built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,58.0,3,1300.0,4461.538461538462
Super built-up  Area,19-Dec,Hoodi,3 BHK,3.0,1.0,68.75,3,1545.0,4449.838187702266
Built-up  Area,Ready To Move,Shampura,1 BHK,2.0,0.0,26.0,1,375.0,6933.333333333333
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2.0,3.0,38.0,2,1062.0,3578.154425612053
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,40.0,2,1115.0,3587.4439461883408
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2.0,1.0,35.0,2,1000.0,3500.0
Super built-up  Area,17-May,Kambipura,2 BHK,2.0,1.0,45.0,2,883.0,5096.262740656852
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,2.0,1.0,70.0,2,1195.0,5857.740585774059
